m_bene,s_bene,genere,regione,provincia,comune,indirizzo,ufficio,distretto,procedura,fascicolo_tipo,categoria,sottocategoria,tipologia,destinatario,fine,utilizzo,decreto_numero,decreto_anno,decreto_data
A-AG-129683,,aziende,Sicilia,Agrigento,Grotte,"VIALE MATTEOTTI 20 CAP 92020,",Tribunale,AGRIGENTO,9/2001,,Società in accomandita semplice,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,168,2006,06/11/2006
A-AG-181084,,aziende,Sicilia,Agrigento,Canicattì,"VIA VIVALDI 15,",Tribunale,AGRIGENTO,1/2006,Prevenzione,Impresa individuale,"Agricoltura, caccia e silvicoltura",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,19497,2016,04/05/2016
A-AG-181198,A-AG-28469-S,aziende,Sicilia,Agrigento,Cammarata,"VIA MARCHE 2,",Tribunale,AGRIGENTO,34/2002,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,211,2000,28/12/2000
A-AG-202223,A-AG-20994-S,aziende,Sicilia,Agrigento,Campobello di Licata,"VIA DALMAZIA,",Tribunale,AGRIGENTO,45/2002,Prevenzione,Impresa individuale,"Agricoltura, caccia e silvicoltura",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,15,2007,10/01/2007
A-AG-202228,A-AG-20995-S,aziende,Sicilia,Agrigento,Campobello di Licata,"VIA PAOLO ROSSI N. 70,",Tribunale,AGRIGENTO,45/2002,Prevenzione,Società a responsabilità limitata,Estrazione di minerali,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,307,2009,14/07/2009
A-AG-270125,A-AG-40487-S,aziende,Sicilia,Agrigento,Favara,"C.DA POGGIO DI CONTE CAP 92026,",Procura della Repubblica,PALERMO,12850/2005,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,5115,2013,08/03/2013
A-AG-270128,A-AG-40488-S,aziende,Sicilia,Agrigento,Agrigento,"STRADA PROVINCIALE N. 3 KM 3+800 CAP 92026,",Procura della Repubblica,PALERMO,12850/2005,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,454,2010,19/10/2010
A-AG-270131,A-AG-40489-S,aziende,Sicilia,Agrigento,Favara,"VIALE PORTA DI MARE N. 11,",Procura della Repubblica,PALERMO,12850/2005,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,5116,2013,09/03/2013
A-AG-274224,A-AG-34606-S,aziende,Sicilia,Agrigento,Favara,VIA SANTO STEFANO 25,Tribunale,Agrigento,51/2009,Prevenzione,Impresa individuale,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,2396,2014,24/01/2014
A-AG-274228,A-AG-34607-S,aziende,Sicilia,Agrigento,Favara,VIALE A. MORO 73,Tribunale,Agrigento,51/2009,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,12085,2013,28/05/2013
A-AG-296003,,aziende,Sicilia,Agrigento,Favara,"VIA CAPITANO CALLEA N. 76,",Tribunale,AGRIGENTO,29/2014,,Impresa individuale,,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,31294,2013,09/12/2013
A-AG-296676,A-AG-21384-S,aziende,Sicilia,Agrigento,Ribera,"VIA DEI TULIPANI , 26",Tribunale,AGRIGENTO,83/2010,Prevenzione,Impresa individuale,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,18328,2015,20/05/2015
A-AG-296677,A-AG-21385-S,aziende,Sicilia,Agrigento,Ribera,VIA CIRCONVALLAZIONE,Tribunale,Agrigento,83/2010,Prevenzione,Impresa individuale,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,50691,2019,28/11/2019
A-AG-296862,A-AG-5473-S,aziende,Sicilia,Agrigento,Bivona,"CONTRADA BOSCHETTO, SNC",Tribunale,AGRIGENTO,106/2010,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,47559,2015,14/12/2015
A-AG-296882,A-AG-5474-S,aziende,Sicilia,Agrigento,Bivona,"CONTRADA BOSCHETTO, SNC",Tribunale,AGRIGENTO,106/2010,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44858,2015,26/11/2015
