s_bene,genere,nome_regione,nome_provincia,nome_comune,categoria,sottocategoria,provvedimento,quota_confiscata,ufficio_giudiziario,distretto,tipologia_procedura
I-AG-100317-S,immobili,Sicilia,Agrigento,Campobello di Licata,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-100318-S,immobili,Sicilia,Agrigento,Campobello di Licata,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-100756-S,immobili,Sicilia,Agrigento,Porto Empedocle,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-104559-S,immobili,Sicilia,Agrigento,Siculiana,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Palermo,Misure di Prevenzione
I-AG-104563-S,immobili,Sicilia,Agrigento,Siculiana,Unità immobiliare a destinazione commerciale e industriale,"Magazzino, Locale di deposito",Confisca def.,100%,Tribunale,Palermo,Misure di Prevenzione
I-AG-104564-S,immobili,Sicilia,Agrigento,Siculiana,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Palermo,Misure di Prevenzione
I-AG-104573-S,immobili,Sicilia,Agrigento,Siculiana,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Palermo,Misure di Prevenzione
I-AG-104574-S,immobili,Sicilia,Agrigento,Siculiana,Unità immobiliare per uso di abitazione e assimilabile,Abitazione indipendente,Confisca def.,100%,Tribunale,Palermo,Misure di Prevenzione
I-AG-104581-S,immobili,Sicilia,Agrigento,Siculiana,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Palermo,Misure di Prevenzione
I-AG-104586-S,immobili,Sicilia,Agrigento,Siculiana,Terreno,Terreno edificabile,Confisca def.,100%,Tribunale,Palermo,Misure di Prevenzione
I-AG-104604-S,immobili,Sicilia,Agrigento,Siculiana,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Palermo,Misure di Prevenzione
I-AG-108444-S,immobili,Sicilia,Agrigento,Naro,Terreno,Terreno agricolo,Confisca def.,25%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108445-S,immobili,Sicilia,Agrigento,Naro,Terreno,Terreno agricolo,Confisca def.,25%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108447-S,immobili,Sicilia,Agrigento,Favara,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108448-S,immobili,Sicilia,Agrigento,Naro,Terreno,Terreno agricolo,Confisca def.,25%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108449-S,immobili,Sicilia,Agrigento,Favara,Unità immobiliare per uso di abitazione e assimilabile,Abitazione indipendente,Confisca def.,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108450-S,immobili,Sicilia,Agrigento,Naro,Terreno,Terreno agricolo,Confisca def.,25%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108451-S,immobili,Sicilia,Agrigento,Naro,Terreno,Terreno agricolo,Confisca def.,25%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108452-S,immobili,Sicilia,Agrigento,Favara,Unità immobiliare per uso di abitazione e assimilabile,Abitazione indipendente,Confisca def.,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108454-S,immobili,Sicilia,Agrigento,Naro,Terreno,Terreno agricolo,Confisca def.,25%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108455-S,immobili,Sicilia,Agrigento,Naro,Terreno,Terreno agricolo,Confisca def.,25%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108456-S,immobili,Sicilia,Agrigento,Naro,Terreno,Terreno agricolo,Confisca def.,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108457-S,immobili,Sicilia,Agrigento,Favara,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108458-S,immobili,Sicilia,Agrigento,Naro,Unità immobiliare per uso di abitazione e assimilabile,Abitazione indipendente,Confisca def.,33%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108459-S,immobili,Sicilia,Agrigento,Favara,Unità immobiliare per uso di abitazione e assimilabile,Tettoia chiusa o aperta,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108460-S,immobili,Sicilia,Agrigento,Favara,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108461-S,immobili,Sicilia,Agrigento,Favara,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108462-S,immobili,Sicilia,Agrigento,Favara,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108463-S,immobili,Sicilia,Agrigento,Favara,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-108464-S,immobili,Sicilia,Agrigento,Naro,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,33%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-132214-S,immobili,Sicilia,Agrigento,Raffadali,Terreno,Terreno - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-132215-S,immobili,Sicilia,Agrigento,Raffadali,Terreno,Terreno - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-132216-S,immobili,Sicilia,Agrigento,Raffadali,Terreno,Terreno - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-132218-S,immobili,Sicilia,Agrigento,Raffadali,Terreno,Terreno - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-132219-S,immobili,Sicilia,Agrigento,Raffadali,Terreno,Terreno agricolo,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-132220-S,immobili,Sicilia,Agrigento,Raffadali,Terreno,Terreno - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-132221-S,immobili,Sicilia,Agrigento,Raffadali,Terreno,Terreno - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-132222-S,immobili,Sicilia,Agrigento,Raffadali,Terreno,Terreno - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-132223-S,immobili,Sicilia,Agrigento,Raffadali,Terreno,Terreno - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-132224-S,immobili,Sicilia,Agrigento,Raffadali,Terreno,Terreno - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-132226-S,immobili,Sicilia,Agrigento,Raffadali,Terreno,Terreno - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-132227-S,immobili,Sicilia,Agrigento,Raffadali,Terreno,Terreno - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-132229-S,immobili,Sicilia,Agrigento,Raffadali,Unità immobiliare per uso di abitazione e assimilabile,Unità  uso abit. e assimil. - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-132230-S,immobili,Sicilia,Agrigento,Raffadali,Unità immobiliare per uso di abitazione e assimilabile,Unità  uso abit. e assimil. - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-132231-S,immobili,Sicilia,Agrigento,Raffadali,Unità immobiliare per uso di abitazione e assimilabile,Unità  uso abit. e assimil. - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
I-AG-132234-S,immobili,Sicilia,Agrigento,Raffadali,Unità immobiliare per uso di abitazione e assimilabile,Unità  uso abit. e assimil. - non definito,Confisca def.,100%,Tribunale,Agrigento,Misure di Prevenzione
