nome_regione,ufficio_giudiziario,distretto,tipologia_procedura,provvedimento,procedura_rg
Abruzzo,Procura della Repubblica,Avezzano,Procedimento Penale,Confisca I,733/2017
Abruzzo,Procura della Repubblica,Chieti,Procedimento Penale,Confisca def.,661/2008
Abruzzo,Tribunale,Chieti,Misure di Prevenzione,Confisca def.,2/2013
Abruzzo,Tribunale,Chieti,Misure di Prevenzione,Confisca def.,4/2009
Abruzzo,Tribunale,Chieti,Misure di Prevenzione,Revoca Seq.,7/2012
Abruzzo,Tribunale,L'aquila,Misure di Prevenzione,Revoca Conf. parziale,3/2015
Abruzzo,Procura della Repubblica,Lanciano,Procedimento Penale,Revoca Conf.,1138/2012
Abruzzo,Procura della Repubblica,Pescara,Procedimento Penale,Confisca def.,10730/2006
Abruzzo,Procura della Repubblica,Pescara,Procedimento Penale,Confisca def.,1421/2008
Abruzzo,Procura della Repubblica,Pescara,Procedimento Penale,Confisca def.,3455/2006
Abruzzo,Procura della Repubblica,Pescara,Procedimento Penale,Confisca def.,7455/2002
Abruzzo,Procura della Repubblica,Pescara,Procedimento Penale,Confisca def.,7723/2016
Abruzzo,Procura della Repubblica,Pescara,Procedimento Penale,Confisca def.,9207/2007
Abruzzo,Procura della Repubblica,Pescara,Procedimento Penale,Confisca def.,94/2008
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca I,3/2016
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca II,2/2013
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca II,6/2015
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca II,7/2015
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,1/2014
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,10/2013
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,10/2015
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,11/2012
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,13/2011
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,14/2011
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,16/2011
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,17/2011
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,18/2011
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,19/2011
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,2/2009
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,22/2015
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,4/2013
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,4/2015
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,45/2011
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,47/2011
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,5/2014
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,7/2010
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,7/2012
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,8/2011
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,8/2016
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Confisca def.,9/2011
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Revoca Conf.,1/2013
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Revoca Conf.,10/2011
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Revoca Conf.,12/2011
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Revoca Conf. parziale,5/2008
Abruzzo,Tribunale,Pescara,Misure di Prevenzione,Rinvio,11/2011
Abruzzo,Procura della Repubblica,Teramo,Procedimento Penale,Confisca def.,2325/2006
Abruzzo,Tribunale,Teramo,Misure di Prevenzione,Confisca def.,1/2004
Abruzzo,Tribunale,Teramo,Misure di Prevenzione,Confisca def.,1/2005
Abruzzo,Tribunale,Teramo,Misure di Prevenzione,Confisca def.,10/2013
Abruzzo,Tribunale,Teramo,Misure di Prevenzione,Confisca def.,10/2014
Abruzzo,Tribunale,Teramo,Misure di Prevenzione,Confisca def.,11/2009
Abruzzo,Tribunale,Teramo,Misure di Prevenzione,Confisca def.,12/2013
Abruzzo,Tribunale,Teramo,Misure di Prevenzione,Confisca def.,5/2008
Abruzzo,Tribunale,Teramo,Misure di Prevenzione,Confisca def.,8/2010
Abruzzo,Tribunale,Teramo,Misure di Prevenzione,Revoca Conf.,6/2013
Basilicata,Procura della Repubblica,Lagonegro,Procedimento Penale,Confisca def.,486/2016
Basilicata,Tribunale,Matera,Misure di Prevenzione,Revoca Conf.,7/2013
Basilicata,Corte di Appello,Potenza,Misure di Prevenzione,Confisca def.,22/1999
Basilicata,Procura della Repubblica,Potenza,Procedimento Penale,Revoca Conf. parziale,2325/2008
